,Store Name,Address,Floor,Number,Operating_Hours,Building_Name,Area
0,Victoria Centre,"No.15 Watson Road, North Point, H.K.",G/F,3105 1578,08:00-22:00,Victoria Centre,Hong Kong Island
1,Mercury Street,"28 Mercury Street, North Point, H.K.",G/F,2571 4869,08:00-22:00,Supernova Stand,Hong Kong Island
2,Fortress Metro Tower,"238 King’s Road, H.K.",G/F,2571 6421,08:00-23:00,Fortress Metro Tower,Hong Kong Island
3,City Garden,"7-14 , City Garden , No. 233 Electrial Road , H.K.",30-33 Ground Floor,3580 7319,08:30-22:00,Commerial Podiums Below Block,Hong Kong Island
4,North Point,"338 King's Road, North Point, H.K.",G/F,2508 6197,08:00-22:00,Two Chinachem Exchange Square,Hong Kong Island
5,Metropole,"No. 416-426 King's Road, North Point, H.K.",Portion of Basement,2564 0803,08:00-23:00,Metropole Building,Hong Kong Island
6,Island Lodge,"61 & 63 Marble Rd, North Point, H.K.",G/F ,2814 8365,08:30-22:00,Island Lodge,Hong Kong Island
7,Fitfort,"560 King's Road, North Point, H.K.",G/F ,3583 4260,08:30-22:01,Fitfort,Hong Kong Island
8,Healthy Village,"188 Tsat Tsz Mui Road, North Point, H.K.","(Portion), UG/F",2214 0344,08:00-22:00,Healthy Village I Development,Hong Kong Island
9,Gold Luck,"989-992 King's Road, Quarry Bay, H.K.",Upper Ground Floor,2115 9934,08:00-23:00,Gold Luck,Hong Kong Island
10,Park Vale,"No.1060 King's Road, Quarry Bay, H.K.",Upper Grond Floor,2109 3393,08:00-23:00,Park Vale,Hong Kong Island
11,Kornhill,"18 Hong Shing Street, Kornhill, H.K.",G/F,2885 0337,08:00-21:00,Kornhill Plaza,Hong Kong Island
12,Tai Shan,"Tai Koo Shing, Hong Kong",G/F,2885 3216,08:00-22:00,Tin Shan Mansion,Hong Kong Island
13,Upper East,"18 Shing On Street, Sai Wan Ho, H.K.",G/F,2567 1021,08:30-21:30,18 Upper East,Hong Kong Island
14,Tai On Building,"No. 57/87 Shau Kei Wan Road, H.K.",G26 - G31 (Portion) on Ground Floor,2576 5708,08:00-22:00,Tai On Building,Hong Kong Island
15,Lei King Wan,"35 Tai Hong Street, Sai Wan Ho, H.K.",GC19-21,2815 6029,08:00-21:00,Lei King Wan,Hong Kong Island
16,Yiu Tung,"12 Yiu Hing Road, Shaukeiwan, H.K.","S6A, S6B& S6C (partion), G/F",2663 4818,08:00-21:30,"Yiu Tung Shopping Centre, Yiu Tung Estate",Hong Kong Island
17,Sun Sing,"245-247 Shaukeiwan Road, Shaukeiwan, H.K.",G/F & M/F,2567 1325,08:30-22:00,Sun Sing Building,Hong Kong Island
18,Harmony Place,"333 Shau Kei Wan Road, H.K.",2/F,2997 9423,08:30-21:00,Harmony Place,Hong Kong Island
19,Aldrich Garden,"No.2 Oi Lai Street, Shau Kei Wan, H.K.",1/F,2818 5837,08:00-21:30,Sldrich garden,Hong Kong Island
20,Perfect Mount,"1 Po Man Street, Shaukeiwan, H.K.",G/F,2567 1549,08:00-23:00,Perfect Mount Garden,Hong Kong Island
21,Fung Wah,"Fung Wah Estate, Chai Wan, H.K.",G/F ,2505 2734,08:00-20:30,Hiu Fung House,Hong Kong Island
22,Hing Wah,"Hing Wah Estate II, Chai Wan, H.K.",Upper Floor (portion),2558 2909,09:00-20:30,Restaurant Block,Hong Kong Island
23,Ko Way,"No 111 Chai Wan Road, H.K.",1/F,2558 9728,08:30-21:30,Eastern Plaza,Hong Kong Island
24,Winner,"333 Chai Wan Road, H.K.",Basement,2896 3032,09:00-20:00,Winner Centre,Hong Kong Island
25,Wan Tsui,"Wan Tsui Estate, Chai Wan, H.K.",3/F,2505 1446,08:00-22:00,Wan Tsui Commercial Complex,Hong Kong Island
26,Siu Sai Wan,"Siu Sai Wan Estate, Siu Sai Wan Road, Chai Wan, H.K.",2/F,3755 0471,08:00-23:00,Siu Sai Wan Plaza,Hong Kong Island
